Bulbasaur, 1, grass, poison, | —, —, 7, 13, 20, 27, 34, 41, 48, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Ivysaur, 2, grass, poison, | —, —, —, 7, 13, 22, 30, 38, 46, 54, TM03, TM06, TM08, TM09, TM10, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Venusaur, 3, grass, poison, | —, —, —, —, 7, 13, 22, 30, 43, 55, 65, TM03, TM06, TM08, TM09, TM10, TM15, TM20, TM21, TM22, TM31, TM32, TM33, TM34, TM44, TM50, HM01, | Tackle, Growl, Leech Seed, Vine Whip, Leech Seed, Vine Whip, Poison Powder, Razor Leaf, Growth, Sleep Powder, Solar Beam, Swords Dance, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Mimic, Double Team, Reflect, Bide, Rest, Substitute, Cut, | 1, 16, 32, | Bulbasaur, Ivysaur, Venusaur, | , , , 
Charmander, 4, fire, , | —, —, 9, 15, 22, 30, 38, 46, TM01, TM03, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM23, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, HM01, HM04, | Scratch, Growl, Ember, Leer, Rage, Slash, Flamethrower, Fire Spin, Mega Punch, Swords Dance, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Dragon Rage, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, Cut, Strength, | 1, 16, 36, | Charmander, Charmeleon, Charizard, | , , , 
Charmeleon, 5, fire, , | —, —, —, 9, 15, 24, 33, 42, 56, TM01, TM03, TM05, TM06, TM08, TM09, TM10, TM17, TM18, TM19, TM20, TM23, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, HM01, HM04, | Scratch, Growl, Ember, Ember, Leer, Rage, Slash, Flamethrower, Fire Spin, Mega Punch, Swords Dance, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Submission, Counter, Seismic Toss, Rage, Dragon Rage, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, Cut, Strength, | 1, 16, 36, | Charmander, Charmeleon, Charizard, | , , , 
Charizard, 6, fire, flying, | —, —, —, —, 9, 15, 24, 36, 46, 55, TM01, TM03, TM05, TM06, TM08, TM09, TM10, TM15, TM17, TM18, TM19, TM20, TM23, TM26, TM27, TM28, TM31, TM32, TM33, TM34, TM38, TM39, TM40, TM44, TM50, HM01, HM02, HM04, | Scratch, Growl, Ember, Leer, Ember, Leer, Rage, Slash, Flamethrower, Fire Spin, Mega Punch, Swords Dance, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Dragon Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Reflect, Bide, Fire Blast, Swift, Skull Bash, Rest, Substitute, Cut, Fly, Strength, | 1, 16, 36, | Charmander, Charmeleon, Charizard, | , , , 
Squirtle, 7, water, , | —, —, 8, 15, 22, 28, 35, 42, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM28, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM03, HM04, | Tackle, Tail Whip, Bubble, Water Gun, Bite, Withdraw, Skull Bash, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Dig, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 16, 36, | Squirtle, Wartortle, Blastoise, | , , , 
Wartortle, 8, water, , | —, —, —, 8, 15, 24, 31, 39, 47, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM17, TM18, TM19, TM20, TM28, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM03, HM04, | Tackle, Tail Whip, Bubble, Bubble, Water Gun, Bite, Withdraw, Skull Bash, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Submission, Counter, Seismic Toss, Rage, Dig, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 16, 36, | Squirtle, Wartortle, Blastoise, | , , , 
Blastoise, 9, water, , | —, —, —, —, 8, 15, 24, 31, 42, 52, TM01, TM05, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM17, TM18, TM19, TM20, TM26, TM27, TM28, TM31, TM32, TM33, TM34, TM40, TM44, TM50, HM03, HM04, | Tackle, Tail Whip, Bubble, Water Gun, Bubble, Water Gun, Bite, Withdraw, Skull Bash, Hydro Pump, Mega Punch, Mega Kick, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Submission, Counter, Seismic Toss, Rage, Earthquake, Fissure, Dig, Mimic, Double Team, Reflect, Bide, Skull Bash, Rest, Substitute, Surf, Strength, | 1, 16, 36, | Squirtle, Wartortle, Blastoise, | , , , 
Caterpie, 10, bug, , | —, —, | Tackle, String Shot, | 1, 7, 10, | Caterpie, Metapod, Butterfree, | , , , 
Metapod, 11, bug, , | —, TACK, STRI, | Harden, | 1, 7, 10, | Caterpie, Metapod, Butterfree, | , , , 
Butterfree, 12, bug, flying, | —, 12, 15, 16, 17, 21, 26, 32, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM21, TM22, TM29, TM30, TM31, TM32, TM33, TM34, TM39, TM44, TM46, TM50, HM05, | Confusion, Confusion, Poison Powder, Stun Spore, Sleep Powder, Supersonic, Whirlwind, Psybeam, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Solar Beam, Psychic, Teleport, Mimic, Double Team, Reflect, Bide, Swift, Rest, Psywave, Substitute, Flash, | 1, 7, 10, | Caterpie, Metapod, Butterfree, | , , , 
Weedle, 13, bug, poison, | —, —, | Poison Sting, String Shot, | 1, 7, 10, | Weedle, Kakuna, Beedrill, | , , , 
Kakuna, 14, bug, poison, | —, POIS, STRI, | Harden, | 1, 7, 10, | Weedle, Kakuna, Beedrill, | , , , 
Beedrill, 15, bug, poison, | —, 12, 16, 20, 25, 30, 35, TM03, TM06, TM09, TM10, TM15, TM20, TM21, TM31, TM32, TM33, TM34, TM39, TM40, TM44, TM50, HM01, | Fury Attack, Fury Attack, Focus Energy, Twineedle, Rage, Pin Missile, Agility, Swords Dance, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mega Drain, Mimic, Double Team, Reflect, Bide, Swift, Skull Bash, Rest, Substitute, Cut, | 1, 7, 10, | Weedle, Kakuna, Beedrill, | , , , 
Pidgey, 16, normal, flying, | —, 5, 12, 19, 28, 36, 44, TM02, TM04, TM06, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM39, TM43, TM44, TM50, HM02, | Gust, Sand-Attack, Quick Attack, Whirlwind, Wing Attack, Agility, Mirror Move, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, 18, 36, | Pidgey, Pidgeotto, Pidgeot, | , , , 
Pidgeotto, 17, normal, flying, | —, —, 5, 12, 21, 31, 40, 49, TM02, TM04, TM06, TM09, TM10, TM20, TM31, TM32, TM33, TM34, TM39, TM43, TM44, TM50, HM02, | Gust, Sand-Attack, Sand-Attack, Quick Attack, Whirlwind, Wing Attack, Agility, Mirror Move, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Rage, Mimic, Double Team, Reflect, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, 18, 36, | Pidgey, Pidgeotto, Pidgeot, | , , , 
Pidgeot, 18, normal, flying, | —, —, —, 5, 12, 21, 31, 44, 54, TM02, TM04, TM06, TM09, TM10, TM15, TM20, TM31, TM32, TM33, TM34, TM39, TM43, TM44, TM50, HM02, | Gust, Sand-Attack, Quick Attack, Sand-Attack, Quick Attack, Whirlwind, Wing Attack, Agility, Mirror Move, Razor Wind, Whirlwind, Toxic, Take Down, Double-Edge, Hyper Beam, Rage, Mimic, Double Team, Reflect, Bide, Swift, Sky Attack, Rest, Substitute, Fly, | 1, 18, 36, | Pidgey, Pidgeotto, Pidgeot, | , , , 
Rattata, 19, normal, , | —, —, 7, 14, 23, 34, TM06, TM08, TM09, TM10, TM11, TM12, TM14, TM20, TM24, TM25, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM50, | Tackle, Tail Whip, Quick Attack, Hyper Fang, Focus Energy, Super Fang, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Blizzard, Rage, Thunderbolt, Thunder, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, | 1, 20, | Rattata, Raticate, | , , 
Raticate, 20, normal, , | —, —, —, 7, 14, 27, 41, TM06, TM08, TM09, TM10, TM11, TM12, TM13, TM14, TM15, TM20, TM24, TM25, TM28, TM31, TM32, TM34, TM39, TM40, TM44, TM50, | Tackle, Tail Whip, Quick Attack, Quick Attack, Hyper Fang, Focus Energy, Super Fang, Toxic, Body Slam, Take Down, Double-Edge, Bubble Beam, Water Gun, Ice Beam, Blizzard, Hyper Beam, Rage, Thunderbolt, Thunder, Dig, Mimic, Double Team, Bide, Swift, Skull Bash, Rest, Substitute, | 1, 20, | Rattata, Raticate, | , , 
